precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_FUQUE,pri_dem_O'MAILEY,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CHRISTLE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KAISCH,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PATAKL,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_RUBLO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_amd_FUENTE,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
(01) NEW HOPE BAPTIST CHURCH,210,1,0,1,0,26,1,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,12,1,1,580,3,1,1,45,21,239,632
(02) S MCCOMB BAPTIST CHURCH,84,1,0,0,0,10,0,0,1,0,0,8,0,0,0,0,3,0,0,0,1,0,0,30,1,1,223,1,5,0,65,43,95,296
(04) MLK CENTER,256,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,647,3,1,1,13,4,279,668
(05) AMERICAN LEG. HUT,44,0,0,0,0,18,0,0,2,0,0,59,0,0,2,0,47,1,0,0,14,0,0,96,0,0,164,2,9,0,325,221,62,500
(06) S. PIKE COMM. CTR.,115,1,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,270,1,0,0,15,5,127,287
(07) ALPHA CENTER,158,0,0,0,0,19,0,0,0,0,0,11,2,0,0,0,1,0,0,0,1,0,0,27,0,0,377,0,2,0,96,42,177,475
(08) FERNWOOD SCHOOL,183,0,0,1,0,18,0,0,3,0,2,28,0,0,0,0,15,0,0,0,3,0,0,47,2,1,471,1,1,1,189,98,202,666
(10) BRASWELL EDUCATION COMPLEX,203,2,0,0,0,28,1,1,1,0,1,52,0,0,0,0,12,0,0,0,6,0,0,119,0,4,506,2,9,0,346,192,234,867
(12) MEPA BLDG. HWY 98 EAST,169,1,0,0,0,31,0,0,7,0,0,114,0,0,1,0,18,0,0,0,15,0,1,202,0,4,450,3,11,1,628,358,201,1097
(13) HOLMESVILLE COMM.,83,0,0,0,0,14,0,0,2,0,1,55,0,0,1,0,13,0,0,0,9,0,0,96,1,1,248,0,7,1,368,177,97,626
(14) CALVARY BAPTIST CHURCH,80,0,0,0,0,20,1,0,6,0,1,102,0,0,0,0,29,1,0,0,7,0,0,121,0,3,188,2,3,1,451,267,101,648
(15) OLD JONES SCHOOL,25,0,0,0,0,8,0,0,5,0,0,87,0,0,2,0,19,0,0,0,4,0,0,134,0,1,116,1,2,1,534,251,33,655
(16) SUMMIT CITY HALL,161,0,0,2,0,18,0,0,1,0,0,67,0,0,1,0,21,0,0,1,8,0,0,103,0,3,375,2,7,1,321,202,181,709
(17) SMCC WORK FORCE TRAINING CTR,92,0,0,0,0,12,0,3,7,0,1,97,0,0,0,0,41,0,0,0,14,0,0,143,0,1,215,2,7,0,550,306,104,775
(19) PISGAH METHODIST CHURCH,52,0,0,0,0,20,0,2,4,0,0,157,1,0,0,0,59,0,0,0,32,0,0,228,0,0,161,1,12,2,722,483,72,898
(20) PIKE CO. NAT. BANK,93,0,0,0,0,21,1,1,3,0,0,56,0,0,1,0,14,1,0,1,14,0,0,84,0,2,268,4,13,2,277,175,115,566
(21) UNITY MISSIONARY BAPTIST CHURCH,173,0,0,2,0,23,1,0,3,0,0,82,0,0,0,0,23,0,0,0,3,0,0,114,1,3,476,3,7,1,360,225,199,851
(22) CHURCH OF CHRIST,127,0,0,0,0,34,0,2,5,0,0,79,2,0,3,0,32,0,0,0,11,0,0,92,0,2,388,7,12,2,345,226,161,756
(23) WEST MCCOMB BAPT. CHURCH,87,0,0,0,0,18,0,3,0,0,0,83,0,0,0,0,47,1,0,0,13,0,0,113,0,2,252,1,4,0,388,260,105,647
(24) ST. MARY OF THE PINES,156,0,0,0,0,19,1,0,1,0,1,77,0,0,1,0,18,0,0,0,9,0,0,158,0,2,370,1,9,0,535,265,176,917
(25) OSYKA CITY HALL,42,0,0,0,0,4,0,3,2,0,2,35,1,0,0,0,8,0,0,0,1,0,0,68,0,1,117,0,2,0,221,120,46,341
1 ACONA,256,1,0,1,0,11,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6,1,2,445,2,2,1,36,9,270,489
1 BIGBEE,0,0,0,0,0,1,0,0,1,0,0,24,0,0,0,0,2,0,0,0,4,0,0,38,0,0,8,1,0,0,152,69,1,161
1 BOYDS,4,0,0,0,0,4,0,1,5,0,0,49,0,0,1,0,4,0,0,0,6,0,0,74,1,3,29,0,2,0,310,140,8,345
1 DURANT ST ANDERSON,120,0,0,0,0,13,0,0,1,1,0,6,0,0,0,0,1,0,0,0,1,0,0,10,0,1,211,2,0,0,23,20,133,237
1 HATLEY,27,0,0,0,0,19,1,5,22,3,0,237,0,0,2,0,31,0,0,1,48,0,0,249,0,3,98,4,6,0,1252,598,47,1363
1 NORTH HOLLY SPRINGS,228,3,0,0,0,35,2,0,1,0,0,5,0,0,0,0,3,0,0,0,1,0,0,7,0,1,718,3,3,1,40,17,268,766
1 RED BANKS,151,0,0,0,0,25,1,0,2,0,0,85,0,0,0,0,4,0,0,1,22,0,0,110,2,2,374,4,6,0,394,224,177,782
1 SMITHVILLE,28,1,0,0,0,6,2,0,13,0,0,112,0,0,2,0,26,0,0,0,17,0,9,152,1,5,101,2,9,0,675,331,37,793
1 WEST HOLLY SPRINGS,408,1,0,2,0,31,0,0,6,0,0,10,0,0,0,0,6,0,0,1,7,0,0,41,1,3,900,3,3,2,124,71,442,1036
101 - ONE,112,0,0,0,0,39,0,5,11,3,0,242,0,0,2,0,111,0,0,2,65,0,0,306,0,2,458,9,35,0,1030,747,151,1534
